Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
ATAF1_COL_A	ATAF1_col_a(AT1G01720) Target genes predicted by DAP-seq	167	736	TFT	7615	AT1G64660//AT2G39020//AT3G09500//AT2G05440//AT1G17560//AT2G33380//AT2G16650//AT2G30770//AT3G12670//AT1G18850//AT3G21540//AT4G30990//AT3G56990//AT4G18905//AT5G47650//AT1G32550//AT1G29940//AT1G71770//AT3G28070//AT5G11410//AT4G16720//AT5G30490//AT3G16810//AT4G09800//AT1G15250//AT5G08600//AT4G37380//AT4G38810//AT1G56110//AT1G71730//AT3G03341//AT4G05380//AT1G05680//AT4G02820//AT3G13940//AT5G60360//AT1G31660//AT1G25350//AT1G64550//AT3G55690//AT5G65860//AT5G17710//AT4G39040//AT2G18020//AT5G61880//AT3G05060//AT2G20800//AT1G65230//AT5G53540//AT5G62370//AT2G18720//AT1G80620//AT5G07090//AT4G35490//AT2G03820//AT2G03550//AT1G15500//AT2G42720//AT2G47610//AT3G15640//AT2G04070//AT2G39990//AT4G17840//AT2G44120//AT1G10500//AT4G29510//AT1G08360//AT1G73680//AT1G03530//AT5G18570//AT1G18800//AT1G48400//AT1G23410//AT5G55920//AT1G49920//AT1G21400//AT4G02930//AT4G36130//AT2G34970//AT3G18600//AT2G03130//AT2G44510//AT5G24280//AT5G49560//AT4G10450//AT5G22440//AT1G27510//AT2G39850//AT5G19300//AT2G43110//AT1G18540//AT2G20060//AT4G30150//AT2G04050//AT5G60250//AT5G59240//AT3G06530//AT2G18193//AT1G06670//AT1G70160//AT2G47990//AT1G11070//AT2G40360//AT3G48250//AT2G47790//AT5G57490//AT5G52520//AT5G35760//AT4G28030//AT1G57870//AT2G21440//AT3G61780//AT5G14490//AT3G55010//AT4G31700//AT1G55040//AT3G51750//AT3G16840//AT1G67120//AT5G13940//AT3G12270//AT1G15440//AT3G05130//AT3G11710//AT3G55510//AT3G54090//AT1G63810//AT3G46210//AT5G04150//AT1G67865//AT3G55160//AT2G34750//AT4G32510//AT1G58380//AT3G04920//AT1G10490//AT5G42030//AT2G40450//AT4G37980//AT2G19640//AT1G57660//AT3G07750//AT1G08610//AT3G51130//AT5G13830//AT5G45095//AT4G25340//AT3G56070//AT5G14520//AT5G23300//AT1G01250//AT4G23540//AT1G30680//AT1G27400//AT2G34570//AT4G19210//AT2G25625//AT4G15770//AT3G06930//AT1G29395//AT5G20160//AT5G37490//AT3G11410//AT1G07430//AT3G26230//AT5G58370//AT1G13160	0.991044038488602	1
AT1G71450_COL_A	AT1G71450_col_a(AT1G71450) Target genes predicted by DAP-seq	261	736	TFT	9574	AT1G64660//AT5G60990//AT2G39020//AT2G05440//AT5G57050//AT1G48570//AT1G49760//AT3G14390//AT3G27180//AT5G54910//AT3G12670//AT1G15500//AT1G28395//AT2G34970//AT3G57660//AT5G42540//AT3G05130//AT1G71280//AT4G15850//AT1G50920//AT3G28270//AT1G03910//AT5G16750//AT1G29940//AT1G71770//AT5G67220//AT5G20600//AT3G28070//AT5G65850//AT4G29410//AT4G05400//AT3G07430//AT3G04770//AT1G73180//AT5G08540//AT1G02060//AT4G36580//AT4G27490//AT5G15750//AT3G01600//AT1G29720//AT2G22490//AT5G64420//AT2G35580//AT4G37380//AT4G38810//AT3G61620//AT3G23940//AT3G17970//AT1G71730//AT2G28600//AT4G38150//AT5G02870//AT5G60960//AT3G03630//AT4G02820//AT1G73700//AT2G03670//AT5G37130//AT1G31660//AT5G11310//AT1G75200//AT5G63890//AT1G25350//AT1G77940//AT3G04600//AT3G55690//AT5G40770//AT5G65860//AT5G17710//AT3G10610//AT3G20000//AT4G21140//AT1G34315//AT3G57150//AT1G18080//AT3G01610//AT4G16630//AT1G27470//AT3G60880//AT5G61880//AT4G35490//AT1G65230//AT2G23070//AT2G45710//AT5G62370//AT5G27620//AT2G24050//AT5G14580//AT3G51130//AT1G77550//AT2G24560//AT1G61570//AT1G51310//AT4G25630//AT2G47610//AT3G15640//AT3G51270//AT3G13150//AT3G49140//AT5G23900//AT4G07410//AT2G39990//AT4G17840//AT5G14050//AT5G58130//AT4G29510//AT3G52140//AT5G22320//AT1G20140//AT1G73680//AT5G57030//AT3G10530//AT1G78750//AT4G32400//AT4G24280//AT1G69070//AT1G17690//AT5G18570//AT3G13580//AT2G18900//AT3G19440//AT5G27640//AT3G13882//AT4G15730//AT4G34265//AT5G03390//AT4G00620//AT5G51330//AT3G60960//AT3G56490//AT5G13280//AT5G05450//AT3G26730//AT5G60260//AT1G27390//AT5G25800//AT5G36900//AT4G37910//AT4G24830//AT1G48630//AT1G74060//AT1G01350//AT4G29030//AT2G34570//AT1G12250//AT4G05410//AT3G60980//AT1G15930//AT5G42980//AT1G64600//AT5G41360//AT1G20370//AT5G04600//AT2G20060//AT3G49240//AT4G30150//AT3G49660//AT3G11410//AT2G38310//AT3G61630//AT2G16650//AT5G60250//AT4G39040//AT1G29900//AT2G18193//AT5G48240//AT2G47990//AT1G72090//AT1G11070//AT4G19130//AT2G40360//AT2G18020//AT3G47450//AT3G60500//AT3G09630//AT5G41190//AT3G03920//AT3G07630//AT3G22310//AT5G57490//AT5G52520//AT5G35760//AT2G36070//AT2G05220//AT2G21440//AT5G56680//AT5G11840//AT3G58470//AT5G66400//AT3G58660//AT3G11940//AT1G47490//AT4G04940//AT2G19640//AT1G55040//AT2G35240//AT3G51750//AT1G75240//AT2G17670//AT2G18190//AT3G22120//AT3G06200//AT2G47790//AT1G15440//AT1G06720//AT3G01550//AT5G66540//AT5G23250//AT1G67865//AT3G12860//AT5G44320//AT2G24255//AT1G03360//AT3G24780//AT1G08910//AT5G46430//AT1G58380//AT1G10490//AT2G39670//AT5G27470//AT1G30960//AT4G37980//AT3G57290//AT3G02760//AT2G44120//AT3G07750//AT4G25730//AT1G08610//AT2G04030//AT2G37990//AT4G34740//AT1G70440//AT1G26880//AT5G13830//AT5G16930//AT5G02050//AT1G07930//AT4G01860//AT5G49560//AT1G01250//AT4G23540//AT1G17880//AT4G14000//AT1G62390//AT5G26180//AT1G80750//AT1G30170//AT1G79470//AT2G25625//AT4G15770//AT3G11964//AT5G04800//AT1G47500//AT5G20160//AT5G06360//AT2G23350//AT1G07430//AT1G02870//AT1G13160//AT3G47580	0.114443653299034	1
NF-YB2_ABA_TARGET_GENES	NF-YB2(AT5G47640) target genes in response to ABA treatment	497	736	TFT	18448	AT1G72440//AT1G17560//AT3G55750//AT5G54910//AT2G31610//AT1G28395//AT5G16620//AT1G23280//AT3G12390//AT2G46280//AT3G11400//AT5G20600//AT1G04945//AT4G16720//AT4G36580//AT3G45430//AT4G20690//AT3G01600//AT5G39840//AT5G47930//AT5G16130//AT3G03341//AT5G60960//AT2G35500//AT3G14700//AT1G30580//AT4G19210//AT3G49140//AT1G72320//AT3G24830//AT1G64550//AT3G62940//AT3G51800//AT4G21140//AT1G18080//AT1G79950//AT5G61880//AT1G10450//AT2G20800//AT3G57000//AT5G07090//AT1G12920//AT5G37440//AT1G77550//AT1G48920//AT4G25630//AT2G47610//AT3G13150//AT3G56490//AT5G08620//AT1G52980//AT1G52930//AT1G73680//AT5G57030//AT4G11211//AT1G08410//AT1G60770//AT5G55920//AT3G18140//AT3G56990//AT2G29200//AT5G51330//AT3G60960//AT3G03150//AT2G40010//AT2G03130//AT1G74060//AT5G22440//AT5G19300//AT1G18800//AT3G60980//AT5G41360//AT3G23480//AT1G09640//AT2G38310//AT5G16750//AT3G63130//AT3G22320//AT3G47450//AT3G09720//AT5G57490//AT1G57870//AT2G31660//AT5G66400//AT3G11940//AT1G47490//AT1G03110//AT3G16840//AT2G17670//AT5G10360//AT2G44510//AT3G06200//AT3G49410//AT1G07940//AT3G01550//AT1G02750//AT3G56150//AT1G63810//AT5G23250//AT3G19210//AT3G20330//AT3G12860//AT2G40590//AT5G42030//AT3G06680//AT3G57290//AT3G07750//AT5G52650//AT5G13780//AT2G35040//AT4G13170//AT3G58700//AT1G62390//AT1G34030//AT5G48120//AT2G20490//AT4G02930//AT1G26630//AT1G07430//AT1G72370//AT5G10240//AT5G25780//AT1G64660//AT3G09500//AT5G60670//AT5G57050//AT3G62120//AT3G62870//AT1G18850//AT5G42540//AT2G36170//AT2G04390//AT1G09760//AT5G61770//AT1G57720//AT2G40430//AT1G63780//AT1G67680//AT1G36180//AT5G15750//AT2G35580//AT4G37380//AT1G17470//AT1G28530//AT5G19820//AT1G56110//AT1G64880//AT5G26270//AT5G58420//AT5G14610//AT3G13940//AT3G48250//AT1G31660//AT1G77940//AT4G31180//AT3G55690//AT3G10610//AT5G24840//AT2G18180//AT2G18020//AT4G16630//AT1G27470//AT3G01345//AT2G43110//AT2G03820//AT2G05160//AT3G27620//AT3G55280//AT3G19630//AT4G10480//AT5G23900//AT5G46160//AT5G14050//AT5G58130//AT4G16180//AT3G52140//AT1G03530//AT3G10530//AT2G18110//AT5G01445//AT1G25350//AT4G34265//AT5G03390//AT5G62270//AT3G14600//AT5G65860//AT1G27390//AT4G36130//AT2G34970//AT1G06380//AT3G49990//AT2G23070//AT5G57890//AT2G45670//AT5G23710//AT3G02790//AT5G60250//AT3G03920//AT2G40570//AT4G01560//AT3G01160//AT2G37270//AT3G02080//AT3G20050//AT2G21440//AT4G30990//AT1G19150//AT3G15460//AT1G79150//AT1G04170//AT1G67120//AT3G22120//AT1G15440//AT3G49240//AT3G57350//AT1G68990//AT2G46230//AT5G59390//AT4G21900//AT3G02560//AT3G04920//AT3G27740//AT3G02760//AT3G11410//AT1G14610//AT1G08610//AT3G05030//AT1G26880//AT1G64050//AT5G45095//AT3G49010//AT3G56070//AT5G02050//AT1G07930//AT4G01860//AT1G17880//AT1G30680//AT1G27400//AT1G80750//AT3G20300//AT1G79470//AT5G56680//AT1G29395//AT4G31210//AT1G08190//AT2G23350//AT3G13470//AT3G11250//AT1G49760//AT1G03360//AT5G40670//AT1G03400//AT2G33380//AT3G21540//AT4G24480//AT3G28270//AT1G32550//AT1G71770//AT5G67220//AT3G07630//AT2G19385//AT3G61780//AT5G30490//AT4G27490//AT5G16930//AT2G22490//AT5G08600//AT4G38810//AT4G04670//AT3G61620//AT2G33840//AT3G02200//AT1G79190//AT2G28600//AT5G02870//AT2G18720//AT2G03670//AT5G60360//AT4G27010//AT5G63890//AT3G18610//AT3G04600//AT5G40770//AT1G06560//AT3G16310//AT3G57150//AT4G39040//AT2G44860//AT2G24050//AT2G03550//AT1G42440//AT2G42720//AT5G53860//AT1G09620//AT5G64420//AT5G15610//AT5G11310//AT1G10500//AT1G55040//AT1G08360//AT4G28200//AT3G16650//AT1G78750//AT1G69070//AT5G40200//AT1G50920//AT5G66540//AT5G20890//AT5G25800//AT2G27840//AT4G37910//AT4G24830//AT1G48630//AT5G24280//AT3G49180//AT4G05410//AT5G44320//AT1G15930//AT5G42980//AT1G20370//AT1G06720//AT1G18540//AT3G61100//AT5G41765//AT2G18193//AT3G49500//AT3G57940//AT1G70160//AT4G13750//AT2G40360//AT5G09840//AT3G60500//AT3G09630//AT3G52040//AT4G28030//AT2G05220//AT5G52470//AT4G25730//AT5G11840//AT4G15730//AT3G51750//AT1G75240//AT5G55510//AT3G46210//AT2G24255//AT1G08910//AT5G20290//AT2G39670//AT1G73490//AT2G19640//AT1G74560//AT5G06110//AT2G04030//AT4G34740//AT1G29965//AT3G51130//AT5G14520//AT3G19440//AT5G15810//AT1G01250//AT3G26730//AT2G06990//AT1G26470//AT3G12080//AT3G13580//AT2G45280//AT2G25625//AT3G11964//AT1G47500//AT5G37490//AT5G06360//AT3G47580//AT1G07920//AT3G14390//AT2G16650//AT5G39850//AT5G44490//AT1G73230//AT3G57660//AT2G24500//AT4G31810//AT1G03910//AT3G58270//AT5G17270//AT3G06530//AT5G09995//AT5G65850//AT4G27390//AT1G71730//AT2G19730//AT4G02220//AT5G15420//AT3G06790//AT1G74270//AT3G03630//AT1G75200//AT5G09330//AT4G24280//AT2G47990//AT1G10840//AT5G03740//AT5G17710//AT3G20000//AT5G04600//AT5G52820//AT3G61630//AT3G60880//AT3G15080//AT2G45710//AT5G62370//AT1G64220//AT4G35490//AT2G16570//AT3G26410//AT4G25740//AT3G05060//AT4G07410//AT4G17840//AT4G29510//AT5G22320//AT3G55620//AT5G18570//AT2G18220//AT1G01350//AT4G32400//AT1G17690//AT2G18900//AT1G23410//AT3G13882//AT2G44120//AT4G31160//AT1G21400//AT5G11240//AT5G05990//AT3G05130//AT1G09810//AT5G18790//AT3G23990//AT4G29200//AT1G27510//AT2G39990//AT1G05680//AT5G51020//AT3G16780//AT2G40700//AT2G20060//AT3G49660//AT5G15360//AT5G59240//AT2G28000//AT2G39390//AT4G26600//AT1G06670//AT3G11710//AT1G72090//AT4G05400//AT2G36070//AT2G41840//AT1G74870//AT3G58470//AT5G58610//AT3G03060//AT3G62310//AT4G04940//AT1G68660//AT5G49560//AT3G12270//AT1G32870//AT1G80410//AT3G56570//AT5G46430//AT5G15550//AT1G58380//AT1G10490//AT2G40450//AT3G12670//AT4G19130//AT2G17360//AT1G03860//AT2G40510//AT2G29540//AT1G74050//AT5G11270//AT3G25940//AT5G41970//AT4G32720//AT2G36160//AT5G08180//AT3G58660//AT5G39740//AT5G20160//AT5G40490//AT1G64600//AT4G14000//AT3G26230//AT5G58370//AT1G17960	0.0301036574048617	1
DETECTION_OF_STIMULUS	GO:0051606   detection of stimulus,    GOslim:biological_process	1	736	BP	148	AT2G30770	0.977011266029575	1
ARGININE_METABOLIC_PROCESS	GO:0006525   arginine metabolic process,    GOslim:biological_process	2	736	BP	15	AT1G29900//AT4G24830	0.0659848833146087	1
GOLGI_LOCALIZATION	GO:0051645   Golgi localization,    GOslim:biological_process	1	736	BP	44	AT4G22720	0.679343349679327	1
ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT	GO:0000314   organellar small ribosomal subunit,    GOslim:cellular_component	1	736	CC	28	AT2G34520	0.519428671347389	1
ANAC102_ABA_TARGET_GENES	ANAC102(AT5G63790) target genes in response to ABA treatment	110	736	TFT	5263	AT1G64660//AT2G39020//AT5G47455//AT2G33380//AT3G12670//AT3G21540//AT1G09760//AT1G32550//AT5G67220//AT1G57720//AT4G05400//AT4G27490//AT5G16930//AT4G37380//AT3G61620//AT2G33840//AT5G15420//AT3G06790//AT5G60360//AT1G05680//AT1G75200//AT4G24280//AT3G18610//AT1G77940//AT2G44120//AT1G03860//AT5G40770//AT5G65860//AT5G11270//AT3G61630//AT1G27470//AT2G45710//AT5G53540//AT5G59390//AT1G80620//AT5G07090//AT4G35490//AT5G14580//AT3G55280//AT5G53860//AT2G18900//AT5G64420//AT4G17840//AT1G10500//AT1G73680//AT5G57030//AT4G32400//AT1G18800//AT5G55920//AT3G60960//AT3G03150//AT3G58700//AT5G20890//AT2G27840//AT1G48630//AT5G47650//AT5G19300//AT3G60980//AT3G16780//AT2G45670//AT4G30150//AT2G38310//AT2G39390//AT1G70160//AT1G21400//AT3G09720//AT2G47790//AT5G57490//AT5G52520//AT4G28030//AT2G36070//AT2G21440//AT5G58610//AT3G15460//AT1G79150//AT5G17270//AT3G01550//AT3G57350//AT1G68990//AT1G63810//AT1G70440//AT1G10490//AT1G73490//AT3G06680//AT3G07750//AT5G52650//AT5G62440//AT1G64600//AT5G26270//AT3G51130//AT3G14600//AT5G45095//AT3G25940//AT2G41190//AT4G01860//AT5G15810//AT3G26730//AT1G30680//AT4G32720//AT3G20300//AT4G19210//AT2G25625//AT1G29395//AT1G08190//AT3G11410//AT2G23350//AT5G57050//AT1G07430//AT5G58370//AT1G17960	0.992234590041868	1
COA_CARBOXYLASE_ACTIVITY	GO:0016421   CoA carboxylase activity,    GOslim:molecular_function	1	736	MF	8	AT1G36180	0.203347171761522	1
TRANSCRIPTION,_DNA-DEPENDENT	GO:0006351   transcription, DNA-dependent,    GOslim:biological_process	65	736	BP	2616	AT5G46160//AT3G48500//AT2G03130//AT3G61630//AT1G60850//AT3G16780//AT1G17560//AT3G01610//AT1G79950//ATCG00540//AT1G68990//AT3G63130//AT1G10450//AT2G34520//AT2G03710//AT5G04150//AT3G19210//AT3G57660//AT5G27620//AT2G34750//AT1G26470//AT4G35490//AT2G40030//AT2G20060//AT2G24500//AT3G57290//AT2G42720//AT1G32870//AT5G17270//AT1G29940//AT2G29540//AT4G39040//AT1G29900//AT5G52470//AT5G64420//AT5G22650//AT5G11270//AT3G25940//AT3G22320//AT3G01600//AT3G47450//AT4G28200//AT5G23300//AT2G34900//AT1G01250//AT2G24120//AT5G45140//AT4G05400//AT1G17690//AT2G25640//AT3G54090//AT2G45280//AT2G06990//AT5G06550//AT5G58610//AT1G67120//AT2G35500//AT5G14490//AT3G13940//AT5G23710//AT1G23410//AT5G09330//AT1G75240//AT3G02790//AT5G03740	0.614719091872332	1
APOCAROTENOID_METABOLIC_PROCESS	GO:0043288   apocarotenoid metabolic process,    GOslim:biological_process	1	736	BP	43	AT1G32550	0.6711291108907	1
TRANSLATION_TERMINATION_FACTOR_ACTIVITY	GO:0008079   translation termination factor activity,    GOslim:molecular_function	1	736	MF	13	AT1G12920	0.297889573143597	1
POLAR_NUCLEUS_FUSION	GO:0010197   polar nucleus fusion,    GOslim:biological_process	3	736	BP	22	AT1G72440//AT2G20490//AT2G34260	0.0236279055047465	1
ANAC083_COL_V3A	ANAC083_col_v3a(AT5G13180) Target genes predicted by DAP-seq	167	736	TFT	8891	AT1G64660//AT1G03360//AT2G39020//AT5G60670//AT1G03400//AT2G33380//AT2G16650//AT1G80270//AT1G18850//AT5G07090//AT4G21770//AT1G71280//AT4G15850//AT4G31810//AT3G28270//AT1G16960//AT1G57870//AT3G22860//AT1G29940//AT1G57720//AT3G04770//AT5G11410//AT3G56150//AT4G27390//AT5G15750//AT1G74870//AT4G09800//AT5G08600//AT4G37380//AT1G68660//AT5G19820//AT2G24120//AT2G28600//AT1G08910//AT4G05380//AT5G14610//AT5G41765//AT5G27620//AT3G48250//AT5G63890//AT4G31180//AT5G27230//AT1G34315//AT3G61630//AT2G18020//AT5G61880//AT1G10450//AT2G20800//AT5G53540//AT5G59390//AT1G80620//AT2G16570//AT3G51130//AT2G24560//AT2G03550//AT4G24480//AT3G28500//AT1G73180//AT5G55150//AT4G10480//AT2G04070//AT5G11310//AT5G58130//AT4G16180//AT1G10500//AT1G79150//AT1G73680//AT3G16650//AT1G78750//AT5G01445//AT1G18800//AT1G23410//AT2G10440//AT1G64550//AT5G51330//AT4G23540//AT1G21400//AT4G27640//AT4G29030//AT5G24280//AT3G58270//AT4G10450//AT2G39850//AT1G05680//AT2G36160//AT2G43110//AT3G60980//AT3G16780//AT4G28450//AT1G20370//AT3G27550//AT3G23480//AT2G05440//AT4G30150//AT1G09640//AT5G60250//AT3G03920//AT3G06530//AT4G21490//AT3G05130//AT1G11070//AT4G13750//AT2G40360//AT5G09840//AT3G60500//AT5G52520//AT2G36070//AT1G23280//AT2G21440//AT4G30990//AT5G11840//AT1G24148//AT3G53630//AT5G14490//AT3G55010//AT3G03060//AT4G31700//AT5G48120//AT3G60360//AT3G51750//AT1G67120//AT5G13940//AT5G62370//AT4G16720//AT1G63810//AT3G46210//AT5G04150//AT1G47920//AT2G34750//AT1G15790//AT1G70440//AT1G49920//AT1G52315//AT5G15550//AT1G58380//AT2G40450//AT1G73490//AT3G12670//AT2G19640//AT1G57660//AT5G06110//AT1G08610//AT2G37990//AT3G05030//AT1G26880//AT1G64050//AT4G25340//AT5G14520//AT4G32510//AT1G48400//AT2G25640//AT1G30680//AT2G34570//AT2G18193//AT1G34030//AT1G67870//AT3G20300//AT1G79470//AT5G10240//AT3G11964//AT4G25740//AT1G26630//AT5G37490//AT5G23710//AT1G64600//AT1G07430//AT1G02870	0.999999606534864	1
TUBE_DEVELOPMENT	GO:0035295   tube development,    GOslim:biological_process	1	736	BP	302	AT1G68990	0.999543780344006	1
PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	GO:0009130   pyrimidine nucleoside monophosphate biosynthetic process,    GOslim:biological_process	1	736	BP	8	AT5G23300	0.203347171761522	1
CYCLIN-DEPENDENT_PROTEIN_KINASE_ACTIVITY	GO:0004693   cyclin-dependent protein kinase activity,    GOslim:molecular_function	1	736	MF	32	AT5G27620	0.565652314936252	1
EPR1_COL	EPR1_col(AT1G18330) Target genes predicted by DAP-seq	345	736	TFT	16878	AT1G72440//AT2G39020//AT1G60850//AT5G28235//AT1G16960//AT4G10620//AT4G29410//AT4G16720//AT4G36580//AT3G45430//AT3G01600//AT5G39840//AT3G23940//AT5G47930//AT2G43650//AT3G03341//AT2G21640//AT1G30580//AT1G25350//AT1G64550//AT4G02930//AT3G51800//AT1G10450//AT3G57000//AT5G07090//AT4G29510//AT1G48920//AT5G67240//AT4G25630//AT3G51270//AT5G08620//AT2G15000//AT1G73680//AT1G30240//AT3G13580//AT1G60770//AT5G55920//AT2G03710//AT5G51330//AT3G60960//AT5G05450//AT5G60260//AT5G36900//AT2G03130//AT5G22440//AT2G21450//AT5G41360//AT3G23480//AT4G30150//AT2G04050//AT1G29900//AT3G22660//AT2G31660//AT5G66400//AT1G03110//AT4G31700//AT5G10360//AT5G13940//AT3G21950//AT3G49410//AT1G07940//AT3G22320//AT3G23620//AT1G63810//AT3G19210//AT3G55160//AT3G20440//AT3G06680//AT3G57290//AT5G52650//AT5G62440//AT5G13830//AT2G35040//AT2G39850//AT4G15770//AT5G05060//AT1G26630//AT5G35910//AT1G07430//AT5G25780//AT5G60990//AT1G80270//AT1G18850//AT5G42540//AT2G19540//AT4G15850//AT4G18905//AT1G29940//AT5G61770//AT3G18600//AT2G40430//AT1G63780//AT5G11410//AT1G36180//AT5G15750//AT1G29720//AT4G09800//AT1G15250//AT4G37380//AT1G17470//AT1G28530//AT5G19820//AT1G56110//AT1G64880//AT1G29965//AT3G27710//AT3G13940//AT3G48250//AT1G31660//AT2G34357//AT3G10610//AT2G18180//AT3G01610//AT4G16630//AT1G14810//AT3G01345//AT1G80620//AT2G03820//AT2G05160//AT3G15640//AT4G10480//AT5G46160//AT4G16180//AT3G52140//AT4G11420//AT1G03530//AT3G10530//AT5G03090//AT4G15000//AT5G27640//AT3G14600//AT5G65860//AT4G36130//AT2G34970//AT1G32580//AT4G05380//AT5G19510//AT4G28450//AT2G45670//AT5G34869//AT3G05130//AT3G01160//AT2G45280//AT3G62870//AT3G54730//AT3G02080//AT3G20050//AT5G52520//AT5G35760//AT1G71770//AT4G30990//AT1G24148//AT3G53630//AT1G79150//AT1G04170//AT1G67120//AT3G22120//AT4G01560//AT3G57350//AT1G68990//AT5G09510//AT5G04150//AT1G20400//AT4G04030//AT4G21900//AT3G02560//AT3G04920//AT1G14610//AT1G47490//AT3G05030//AT3G56070//AT1G07930//AT4G01860//AT3G20300//AT5G56680//AT1G22780//AT3G06930//AT3G03920//AT4G31210//AT2G23350//AT1G49760//AT5G41660//AT1G03360//AT2G40030//AT5G16620//AT1G65150//AT2G30770//AT2G34260//AT3G21540//AT4G24480//AT3G28270//AT1G32550//AT2G21440//AT2G19385//AT5G30490//AT4G27490//AT3G55510//AT2G22490//AT1G07920//AT5G57050//AT3G27180//AT2G33840//AT1G79190//AT2G28600//AT5G06550//AT3G62940//AT2G03670//AT5G37130//AT5G60360//AT3G49240//AT4G27010//AT3G04600//AT5G40770//AT3G16310//AT5G35530//AT5G53540//AT2G24050//AT1G61570//AT1G42440//AT3G16810//AT5G64420//AT2G04070//AT2G06990//AT5G11310//AT1G10500//AT1G78750//AT1G69070//AT5G40200//AT2G10440//AT2G35240//AT3G29633//AT5G20890//AT5G25800//AT4G37910//AT4G24830//AT5G24280//AT3G49180//AT4G05410//AT1G20370//AT3G23990//AT1G18540//AT3G49500//AT3G57940//AT1G70160//AT4G13750//AT2G40360//AT1G63660//AT2G45310//AT5G11840//AT5G46790//AT4G15730//AT3G51750//AT1G75240//AT5G58420//AT1G62540//AT3G54090//AT1G52160//AT2G24255//AT1G08910//AT2G06420//AT1G73490//AT2G19640//AT5G06110//AT2G04030//AT5G26270//AT1G73700//AT3G19440//AT5G15810//AT1G01250//AT4G23540//AT4G19210//AT3G11964//AT1G47500//AT3G11410//AT5G45140//AT2G16650//AT5G39850//AT3G57660//AT1G71280//AT4G31810//AT3G58270//AT3G06530//AT5G65850//AT1G08610//AT2G24120//AT2G05915//AT2G19730//AT2G34900//AT5G27620//AT5G47455//AT1G75200//AT1G10840//AT3G56490//AT5G17710//AT5G27230//AT5G27330//AT5G62370//AT4G35490//AT2G16570//AT4G01037//AT4G07410//AT5G37440//AT3G55620//AT2G18220//AT1G18800//AT1G23410//AT3G13882//AT4G31160//AT1G21400//AT2G36930//AT4G29200//AT2G39990//AT2G38310//AT2G20060//AT3G49660//AT1G72370//AT1G06670//AT5G48240//AT3G11710//AT1G72090//AT4G05400//AT4G02400//AT4G04940//AT4G21770//AT5G49560//AT3G12270//AT3G56570//AT5G46430//AT1G58380//AT1G10490//AT2G05440//AT3G12670//AT1G03860//AT2G40510//AT2G37990//AT1G74050//AT5G52820//AT3G25940//AT4G32720//AT2G36160//AT5G20160//AT5G40490//AT1G64600//AT5G58370//AT1G17960	0.999999999915612	1
REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GO:0051239   regulation of multicellular organismal process,    GOslim:biological_process	32	736	BP	684	AT3G49240//AT5G11240//AT4G02400//AT3G56120//AT3G57000//AT4G31810//AT3G57290//AT5G16750//AT2G37990//AT3G03920//AT3G18600//AT5G15610//AT5G22650//AT4G01560//AT4G29510//AT4G27490//AT1G49540//AT4G28200//AT2G34900//AT2G06990//AT3G20050//AT4G29410//AT5G06550//AT5G08180//AT3G06930//AT2G19670//AT4G31160//AT4G27010//AT1G52930//AT1G07430//AT1G25350//AT5G17270	0.00120627531621728	0.0987657077436901
NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	GO:0010466   negative regulation of peptidase activity,    GOslim:biological_process	1	736	BP	10	AT2G35580	0.242600942212811	1
